lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,z_spread_threshold,exit_tighten_bars,exit_tighten_rate,volume_spike_multiple,per_leg_exit,time_weight_enabled,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.0,False,False,1.106001062134891,0.4883004926108374,1.7689831336851118,3.9012741076706257,3.2064257028112357,19959.99999999994,0.0564344318027288,6225.0,1624,262.62295081967204,-226.59446450060165,12.290640394088637,11.175492610837438,10680.0,-3290.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.3,False,True,1.2427765259526593,0.5102040816326531,2.2748958422581986,5.9247186140659736,4.733670295489864,30437.499999999825,0.058176883058131644,6430.0,980,311.61999999999995,-261.19270833333366,31.058673469387585,13.258163265306122,10680.0,-3425.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.3,True,True,1.3195741740665858,0.4969387755102041,2.089850921005833,6.14266360030327,4.889584964761155,31219.99999999997,0.06359878480003985,6385.0,980,264.7073921971252,-198.159229208925,31.85714285714282,9.743877551020407,10085.0,-1985.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.5,False,False,1.184326368652737,0.5119485294117647,2.3587383928811554,4.098370562616641,3.4016018306636067,22297.49999999994,0.06501363749070171,6555.0,1088,257.2082585278276,-227.81073446327687,20.49402573529407,12.328125,3590.0,-3755.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.0,True,False,1.2013532801184126,0.492014742014742,1.9455776917696201,4.902804630844526,3.6092861655085393,28567.500000000087,0.07870140200855126,7915.0,1628,212.7902621722847,-171.55683192261182,17.547604422604476,7.656633906633907,10085.0,-2875.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.01,1.3,True,True,1.3195741740665858,0.4969387755102041,2.089850921005833,6.14266360030327,4.889584964761155,31219.99999999997,0.06359878480003985,6385.0,980,264.7073921971252,-198.159229208925,31.85714285714282,9.743877551020407,10085.0,-1985.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.04,1.3,True,True,1.3195741740665858,0.4969387755102041,2.089850921005833,6.14266360030327,4.889584964761155,31219.99999999997,0.06359878480003985,6385.0,980,264.7073921971252,-198.159229208925,31.85714285714282,9.743877551020407,10085.0,-1985.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.02,1.5,False,True,1.2668479218588713,0.5257009345794392,2.410532581390522,4.280484804644392,3.943452380952366,26499.999999999898,0.06665013637490702,6720.0,856,279.57222222222225,-244.59975369458158,30.957943925233526,13.720794392523365,3870.0,-3425.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.3,True,False,1.2879901421467232,0.495253164556962,2.327966518680141,6.793797392965637,5.124510571652306,32719.99999999997,0.06348811772894501,6385.0,1264,233.76198083067092,-178.0799373040753,25.88607594936706,8.58623417721519,10085.0,-1985.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.04,1.0,False,True,1.1552505308210583,0.49746621621621623,1.852891377277713,4.332533883958427,3.7686688311688123,23214.999999999884,0.06077647871343298,6160.0,1184,293.2894736842105,-251.3151260504203,19.60726351351342,12.30152027027027,10680.0,-2960.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.0,True,True,1.2359569818758311,0.4949664429530201,1.766493787257984,4.5439064344456295,3.4788376500315983,27535.000000000102,0.0788385875790627,7915.0,1192,244.4576271186442,-193.84551495016606,23.099832214765183,8.791107382550335,10085.0,-2875.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,40,0.01,1.0,False,True,1.1709773708873206,0.5008445945945946,2.0352253526183857,4.793231142000459,4.144300727566682,25632.499999999927,0.05640932099046924,6185.0,1184,296.03709949409784,-253.66751269035552,21.64907094594588,12.473817567567568,10680.0,-2960.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.3,False,False,1.157706269813892,0.4960691823899371,2.1155339971255693,5.176426296098296,4.120600858369069,24002.499999999825,0.052390160543238744,5825.0,1272,279.2393026941361,-237.43759750390024,18.86988993710678,11.991352201257861,10680.0,-3755.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.01,1.0,True,True,1.2359569818758311,0.4949664429530201,1.766493787257984,4.5439064344456295,3.4788376500315983,27535.000000000102,0.0788385875790627,7915.0,1192,244.4576271186442,-193.84551495016606,23.099832214765183,8.791107382550335,10085.0,-2875.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.0,False,True,1.171883094096218,0.5008445945945946,2.0092132131520555,4.741285327445205,4.174512987012977,25714.99999999994,0.06077647871343298,6160.0,1184,295.65345699831374,-253.1429780033843,21.71874999999995,12.42989864864865,10680.0,-2960.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.5,False,True,1.2734191889916566,0.5280373831775701,2.4846224556433394,4.425782393806624,4.036086309523794,27122.499999999898,0.06665013637490702,6720.0,856,279.4690265486726,-245.53836633663394,31.68516355140175,13.776869158878505,3870.0,-3425.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.01,1.0,True,False,1.2013532801184126,0.492014742014742,1.9455776917696201,4.902804630844526,3.6092861655085393,28567.500000000087,0.07870140200855126,7915.0,1628,212.7902621722847,-171.55683192261182,17.547604422604476,7.656633906633907,10085.0,-2875.0
