lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
30,1.5,0.3,2,4.0,0.65,3,30,0.9707634832323211,0.5,-0.7909954958734721,-1.038827455925264,-0.5094267515923419,-19994.999999999418,0.3628547656466673,39250.0,5420,244.98523985239856,-252.36346863468617,-3.6891143911438053,15.268265682656827,4255.0,-8165.0
30,1.5,0.5,2,3.0,0.65,3,0,0.9726810903430554,0.4974259974259974,-0.9048303614633698,-1.124549564556033,-0.5484496124030919,-16979.999999999724,0.30005815080441944,30960.0,6216,195.52635834411396,-198.958866837388,-2.731660231660187,9.856338481338481,4120.0,-8120.0
30,1.5,0.3,2,4.0,0.65,5,0,0.9808881939926004,0.4983859397417504,-0.5290859069384916,-0.7199960371691072,-0.43994038748135983,-14759.999999999622,0.31276218886920854,33550.0,5576,272.59355883411297,-276.11637468716464,-2.647058823529342,15.855810616929698,5380.0,-8165.0
30,1.5,0.5,2,4.0,0.75,3,0,1.0007775772636418,0.49827188940092165,-0.27232902094428646,-0.3764664325667966,0.016422608457662476,600.0000000006985,0.3133630671584184,36535.0,6944,223.1871387283239,-221.4774684270953,0.08640552995401823,10.928139400921658,10645.0,-8730.0
30,1.5,0.5,3,3.0,0.65,5,0,0.9208129073458425,0.477859778597786,-0.6267573207508014,-0.8297688383196726,-0.6857514638906952,-10539.999999999985,0.14580467675378267,15370.0,1084,236.6071428571431,-235.16342756183766,-9.723247232472314,12.879151291512915,3385.0,-3470.0
30,1.5,0.3,2,2.0,0.65,3,0,0.9936477437895724,0.49717691342534504,-0.047189985936135485,-0.06607925989946242,-0.1788295640009299,-3834.999999999942,0.1979690745441957,21445.0,6376,189.2389589905364,-188.31019962570187,-0.6014742785445327,8.050188205771644,3890.0,-6125.0
30,1.5,0.5,2,2.0,0.75,3,0,0.9961432384997714,0.4954545454545455,-0.14974116831640646,-0.21301455220447751,-0.10832642916321338,-2614.999999999971,0.21765395365611756,24140.0,7480,182.2490555855371,-179.6581875993642,-0.3495989304812801,7.010160427807486,6205.0,-5195.0
30,1.5,0.3,2,3.0,0.65,3,0,0.9578013727619018,0.4995033112582781,-0.9479968358664753,-1.196640315135679,-0.8745995423340845,-28664.99999999962,0.3160102203152871,32775.0,6040,215.65213788531662,-224.70641746609326,-4.745860927152254,11.550662251655629,4035.0,-8225.0
30,1.5,0.5,2,4.0,0.75,5,30,1.0132232665813203,0.49699367088607593,-0.03613244638525034,-0.05670969012406879,0.2836107554417546,9967.500000000466,0.32741755170486303,35145.0,6320,243.1558420885069,-237.11387228688255,1.577136075949442,12.45237341772152,12390.0,-8340.0
30,1.5,0.5,2,2.0,0.65,3,30,0.9861732792763233,0.4952521283562541,-0.5730521592142992,-0.8060910481816151,-0.3185057223062018,-7375.000000000102,0.2228585178055823,23155.0,6108,173.8884297520662,-173.00924424262092,-1.2074328749181558,7.664047151277014,3975.0,-5185.0
30,1.5,0.3,2,4.0,0.75,5,0,1.0102670634456066,0.49639724310776945,0.25447991871540576,0.40086808701468957,0.30406386066765445,9427.500000000626,0.25182748538011696,31005.0,6384,292.72798990217734,-285.6073094867805,1.476738721804608,15.383771929824562,9825.0,-5330.0
30,1.5,0.5,2,4.0,0.75,3,30,0.9968627005618046,0.5,-0.5880096165420347,-0.7626289933647679,-0.055043586550418834,-2209.999999999316,0.3675561862040555,40150.0,6556,214.22132397803557,-214.89551555826725,-0.3370957901158189,11.23993288590604,6045.0,-8730.0
30,1.5,0.5,2,4.0,0.65,3,0,0.9949402741692617,0.5008294625082946,-0.40622105557841376,-0.5143369774313372,-0.09641688968181612,-3242.499999999476,0.31308476469766794,33630.0,6028,211.19658827426315,-212.97607178464605,-0.5379064366289814,11.488221632382217,4340.0,-8730.0
30,1.5,0.3,2,3.0,0.75,3,30,0.9841957339343668,0.4964960390006094,-0.34479671057803163,-0.48023812606781985,-0.37878294825901415,-11639.999999999505,0.2719108082997832,30730.0,6564,222.4209880331391,-222.8472012102874,-1.7733089579523935,11.19134673979281,4390.0,-4835.0
30,1.5,0.5,2,2.0,0.75,3,30,0.9879855634914608,0.4960384833050368,-0.5635636266475794,-0.7914604417595366,-0.27572922399559713,-7515.0,0.2567593028732925,27255.0,7068,176.26426126640058,-175.60289163391366,-1.063242784380305,7.2314657611771365,3675.0,-5185.0
30,1.5,0.5,2,2.0,0.65,5,0,0.9804692293381145,0.49600127959053103,-0.7549004662485275,-1.0119224778403435,-0.4189877717391433,-12335.000000000378,0.27641894746725504,29440.0,6252,199.68800386971944,-200.43398920977478,-1.9729686500320494,9.092610364683301,4475.0,-6560.0
30,1.5,0.3,2,2.0,0.75,5,0,0.9858740209002904,0.4938650306748466,-0.6353457251043068,-0.9710661013993881,-0.24315371024735077,-11010.000000000044,0.3731970658534575,45280.0,7172,216.9409937888199,-214.71487603305792,-1.5351366424986117,9.047267150027887,13725.0,-6925.0
